"DATES" "FL664090005.Q" "FL663020003.Q" "FL664004005.Q" "FL663069103.Q" "FL663061105.Q" "FL663061703.Q" "FL663062003.Q" "FL663063005.Q" "FL663069803.Q" "FL663064103.Q" "FL663067003.Q" "FL663090005.Q" "FL664190005.Q" "FL662150005.Q" "FL664104005.Q" "FL663163003.Q" "FL663168005.Q" "FL663170003.Q" "FL663167005.Q" "FL663167003.Q" "FL763067005.Q" "FL753067000.Q" "FL663178003.Q" "FL663190005.Q" "FL663192003.Q" "FL663194005.Q" "FL663193005.Q"
"196603" 8930.00 764.00 1595.00 0.00 893.00 0.00 324.00 378.00 0.00 666.00 5905.00 0.00 8664.00 -3118.00 0.00 0.00 0.00 400.00 10365.00 2665.00 7000.00 700.00 92.00 925.00 288.00 0.00 637.00
"196604" 11286.00 784.00 3235.00 0.00 1742.00 0.00 465.00 1028.00 0.00 1317.00 5950.00 0.00 10957.00 -3203.00 0.00 0.00 0.00 410.00 12779.00 2905.00 9024.00 850.00 95.00 876.00 250.00 0.00 626.00
"196701" 11449.00 846.00 3379.00 0.00 2140.00 0.00 783.00 456.00 0.00 745.00 6479.00 0.00 11094.00 -2997.00 0.00 0.00 0.00 420.00 12664.00 3659.00 8300.00 705.00 133.00 874.00 253.00 0.00 621.00
"196702" 11516.00 912.00 2340.00 0.00 710.00 0.00 638.00 992.00 0.00 1281.00 6983.00 0.00 11104.00 -3349.00 0.00 0.00 0.00 430.00 13054.00 4056.00 8248.00 750.00 109.00 860.00 249.00 0.00 611.00
"196703" 12971.00 950.00 2632.00 0.00 985.00 0.00 469.00 1178.00 0.00 1467.00 7922.00 0.00 12486.00 -3568.00 0.00 0.00 0.00 440.00 14625.00 4544.00 9300.00 781.00 145.00 844.00 245.00 0.00 599.00
"196704" 14731.00 990.00 2888.00 0.00 983.00 0.00 506.00 1399.00 0.00 1689.00 9164.00 0.00 14185.00 -3843.00 0.00 0.00 0.00 450.00 16588.00 5254.00 10484.00 850.00 151.00 839.00 253.00 0.00 586.00
"196801" 13602.00 1124.00 2509.00 0.00 968.00 0.00 454.00 1087.00 0.00 1376.00 8593.00 0.00 13000.00 -3566.00 0.00 0.00 0.00 460.00 15085.00 5535.00 8700.00 850.00 201.00 820.00 250.00 0.00 570.00
"196802" 15112.00 1274.00 2305.00 0.00 905.00 0.00 669.00 731.00 0.00 1019.00 10514.00 0.00 14439.00 -3770.00 0.00 0.00 0.00 480.00 16732.00 6655.00 9227.00 850.00 194.00 803.00 252.00 0.00 551.00
"196803" 17661.00 1398.00 4211.00 0.00 2543.00 0.00 663.00 1005.00 0.00 1293.00 10759.00 0.00 16925.00 -3712.00 0.00 0.00 0.00 500.00 19115.00 6865.00 11400.00 850.00 225.00 797.00 262.00 0.00 535.00
"196804" 18513.00 1465.00 3534.00 0.00 1766.00 0.00 548.00 1220.00 0.00 1509.00 12005.00 0.00 17690.00 -4130.00 0.00 0.00 0.00 510.00 20329.00 7675.00 11804.00 850.00 199.00 782.00 255.00 0.00 527.00
"196901" 14615.00 1487.00 1823.00 0.00 733.00 0.00 345.00 745.00 0.00 1034.00 10271.00 0.00 13739.00 -4550.00 0.00 0.00 0.00 520.00 16783.00 7133.00 8800.00 850.00 209.00 777.00 256.00 0.00 521.00
"196902" 15847.00 1470.00 2851.00 0.00 1120.00 0.00 336.00 1395.00 0.00 1685.00 9841.00 0.00 14953.00 -4212.00 0.00 0.00 0.00 540.00 17721.00 6586.00 10285.00 850.00 144.00 760.00 260.00 0.00 500.00
"196903" 12890.00 1427.00 2087.00 0.00 866.00 0.00 350.00 871.00 0.00 1160.00 8216.00 0.00 12030.00 -4141.00 0.00 0.00 0.00 560.00 14704.00 5654.00 8200.00 850.00 163.00 744.00 263.00 0.00 481.00
"196904" 15402.00 1386.00 3670.00 0.00 1728.00 0.00 361.00 1581.00 0.00 1870.00 8476.00 0.00 14553.00 -4027.00 0.00 0.00 0.00 580.00 17200.00 5655.00 10695.00 850.00 147.00 653.00 196.00 0.00 457.00
"197001" 13071.00 1322.00 3436.00 0.00 2155.00 0.00 557.00 724.00 0.00 1015.00 7298.00 0.00 12285.00 -3816.00 0.00 0.00 0.00 590.00 14748.00 5098.00 8800.00 850.00 119.00 644.00 196.00 0.00 448.00
"197002" 11741.00 1225.00 2351.00 0.00 620.00 0.00 390.00 1341.00 0.00 1633.00 6532.00 0.00 10996.00 -3565.00 0.00 0.00 0.00 600.00 13221.00 4494.00 7877.00 850.00 108.00 632.00 194.00 0.00 438.00
"197003" 13298.00 1131.00 3850.00 0.00 2007.00 0.00 612.00 1231.00 0.00 1522.00 6795.00 0.00 12576.00 -3601.00 0.00 0.00 0.00 600.00 14813.00 4663.00 9300.00 850.00 135.00 629.00 192.00 0.00 437.00
"197004" 16246.00 1073.00 6003.00 0.00 3398.00 0.00 915.00 1690.00 0.00 1982.00 7188.00 0.00 15509.00 -3536.00 0.00 0.00 0.00 610.00 17689.00 4703.00 12136.00 850.00 150.00 596.00 169.00 0.00 427.00
"197101" 14861.00 1040.00 4520.00 0.00 1924.00 0.00 890.00 1706.00 0.00 1999.00 7302.00 0.00 14097.00 -3461.00 0.00 0.00 0.00 620.00 16189.00 5339.00 10000.00 850.00 160.00 589.00 174.00 0.00 415.00
"197102" 14332.00 1059.00 3394.00 0.00 1477.00 0.00 489.00 1428.00 0.00 1720.00 8159.00 0.00 13510.00 -3493.00 0.00 0.00 0.00 630.00 15669.00 5123.00 9696.00 850.00 120.00 584.00 181.00 0.00 403.00
"197103" 14491.00 1087.00 3579.00 0.00 1884.00 0.00 946.00 749.00 0.00 1040.00 8785.00 0.00 13607.00 -3530.00 0.00 0.00 0.00 650.00 15787.00 4937.00 10000.00 850.00 130.00 570.00 188.00 0.00 382.00
"197104" 17610.00 1097.00 4642.00 0.00 1799.00 0.00 1028.00 1815.00 0.00 2107.00 9764.00 0.00 16700.00 -3659.00 0.00 0.00 0.00 670.00 18958.00 5197.00 12911.00 850.00 140.00 591.00 224.00 0.00 367.00
"197201" 17309.00 1101.00 3316.00 250.00 1397.00 0.00 714.00 955.00 0.00 1246.00 11646.00 0.00 16242.00 -3748.00 0.00 0.00 0.00 690.00 18394.00 5544.00 12000.00 850.00 150.00 756.00 229.00 0.00 527.00
"197202" 18628.00 1106.00 3303.00 500.00 1107.00 0.00 767.00 929.00 0.00 1219.00 13000.00 0.00 17428.00 -4012.00 0.00 0.00 0.00 710.00 19683.00 5235.00 13598.00 850.00 123.00 924.00 232.00 0.00 692.00
"197203" 18761.00 1104.00 3569.00 750.00 1770.00 0.00 644.00 405.00 0.00 694.00 13394.00 0.00 17547.00 -5032.00 0.00 0.00 0.00 730.00 20594.00 5044.00 14700.00 850.00 151.00 1104.00 235.00 0.00 869.00
"197204" 22935.00 1081.00 5958.00 1000.00 2012.00 0.00 912.00 2034.00 0.00 2411.00 13485.00 0.00 21739.00 -4457.00 0.00 0.00 0.00 750.00 23959.00 5388.00 17409.00 1162.00 165.00 1322.00 285.00 0.00 1037.00
"197301" 18448.00 1040.00 3920.00 1250.00 1365.00 0.00 595.00 710.00 0.00 1087.00 12401.00 0.00 16977.00 -4549.00 0.00 0.00 0.00 760.00 19368.00 5158.00 13500.00 710.00 180.00 1218.00 260.00 1000.00 -42.00
"197302" 17755.00 975.00 4587.00 1500.00 1430.00 0.00 687.00 970.00 0.00 1348.00 10845.00 0.00 16017.00 -4724.00 0.00 0.00 0.00 770.00 18700.00 4836.00 13330.00 534.00 144.00 1127.00 243.00 1250.00 -366.00
"197303" 16902.00 907.00 4897.00 1750.00 1889.00 0.00 718.00 540.00 0.00 917.00 10181.00 0.00 14907.00 -4444.00 0.00 0.00 0.00 780.00 17349.00 4993.00 12099.00 257.00 156.00 1066.00 236.00 3000.00 -2170.00
"197304" 20294.00 854.00 7526.00 2000.00 2008.00 0.00 1130.00 2388.00 0.00 2765.00 9149.00 0.00 18067.00 -4275.00 0.00 0.00 0.00 790.00 20350.00 5199.00 14559.00 592.00 153.00 1049.00 254.00 3250.00 -2455.00
"197401" 16459.00 818.00 5287.00 2250.00 971.00 0.00 590.00 1476.00 0.00 1852.00 8502.00 0.00 13966.00 -4712.00 0.00 0.00 0.00 810.00 16729.00 4992.00 11500.00 237.00 140.00 999.00 238.00 4000.00 -3239.00
"197402" 17469.00 791.00 6092.00 2500.00 827.00 0.00 588.00 2177.00 0.00 2553.00 8033.00 0.00 14790.00 -4170.00 0.00 0.00 0.00 830.00 17020.00 4647.00 12132.00 241.00 82.00 1028.00 302.00 4250.00 -3524.00
"197403" 17444.00 771.00 6822.00 2750.00 1723.00 0.00 605.00 1744.00 0.00 2119.00 7732.00 0.00 14578.00 -4080.00 0.00 0.00 0.00 850.00 16674.00 4325.00 12099.00 250.00 68.00 1066.00 365.00 5000.00 -4299.00
"197404" 18249.00 752.00 7750.00 3000.00 2256.00 0.00 705.00 1789.00 0.00 2164.00 7583.00 0.00 15289.00 -5137.00 0.00 0.00 0.00 870.00 18287.00 4184.00 13585.00 518.00 45.00 1224.00 521.00 5250.00 -4547.00
"197501" 17450.00 740.00 7625.00 3250.00 2713.00 0.00 532.00 1130.00 0.00 1504.00 7581.00 0.00 14255.00 -3520.00 0.00 0.00 0.00 890.00 16106.00 4203.00 11599.00 304.00 61.00 718.00 536.00 6000.00 -5818.00
"197502" 18318.00 730.00 7695.00 3500.00 1813.00 0.00 573.00 1809.00 0.00 2184.00 7709.00 0.00 14888.00 -3221.00 0.00 0.00 0.00 910.00 16937.00 4353.00 12322.00 262.00 15.00 247.00 551.00 6500.00 -6804.00
