,Primary Dealer,Start Date,End Date
131,"BANC ONE CAPITAL MARKETS, INC      ",1999-04-01 00:00:00,2004-08-01 00:00:00
132,CIBC WORLD MARKETS CORP.           ,1999-05-03 00:00:00,2007-02-08 00:00:00
133,BANC OF AMERICA SECURITIES LLC           ,1999-05-17 00:00:00,2010-11-01 00:00:00
134,HSBC SECURITIES (USA) INC.          ,1999-06-01 00:00:00,Current Dealer
135,SG COWEN SECURITIES CORP.          ,1999-07-01 00:00:00,2001-10-31 00:00:00
136,BMO NESBITT BURNS CORP.            ,2000-02-15 00:00:00,2002-03-31 00:00:00
137,UBS WARBURG LLC.                   ,2000-05-01 00:00:00,2003-06-08 00:00:00
138,BNP PARIBAS SECURITIES CORP.        ,2000-09-15 00:00:00,Current Dealer
139,DEUTSCH BANC ALEX. BROWN INC.       ,2001-01-12 00:00:00,2002-03-29 00:00:00
140,DRESDNER KLEINWORT WASSERSTEIN LLC,2001-04-30 00:00:00,2008-06-04 00:00:00
141,J.P. MORGAN SECURITIES INC.        ,2001-05-01 00:00:00,2010-09-01 00:00:00
142,DEUTSCHE BANK SECURITIES INC.       ,2002-03-30 00:00:00,Current Dealer
143,MIZUHO SECURITIES USA INC.         ,2002-04-01 00:00:00,Current Dealer
144,"ABN AMRO BANK, N.V., NY BR          ",2002-12-09 00:00:00,2006-09-15 00:00:00
145,CREDIT SUISSE 1ST BOSTON LLC   ,2003-01-17 00:00:00,2006-01-16 00:00:00
146,CITIGROUP GLOBAL MARKETS INC.  ,2003-04-07 00:00:00,Current Dealer
147,UBS SECURITIES LLC.                ,2003-06-09 00:00:00,Current Dealer
148,COUNTRYWIDE SECURITIES CORPORATION,2004-01-15 00:00:00,2008-07-15 00:00:00
149,CREDIT SUISSE SECURITIES (USA) LLC,2006-01-16 00:00:00,Current Dealer
150,CANTOR FITZGERALD & CO.,2006-08-01 00:00:00,Current Dealer
151,DRESDNER KLEINWORT SECURITIES LLC,2006-09-18 00:00:00,2009-06-26 00:00:00
152,RBS SECURITIES INC.,2009-04-01 00:00:00,Current Dealer
153,"JEFFERIES & COMPANY, INC.",2009-06-18 00:00:00,2013-03-01 00:00:00
154,RBC CAPITAL MARKETS CORPORATION,2009-07-08 00:00:00,2010-11-01 00:00:00
155,"NOMURA SECURITIES INTERNATIONAL,INC",2009-07-27 00:00:00,Current Dealer
156,DAIWA CAPITAL MARKETS AMERICA INC.,2010-04-01 00:00:00,Current Dealer
157,J.P. MORGAN SECURITIES LLC,2010-09-01 00:00:00,Current Dealer
158,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",2010-11-01 00:00:00,Current Dealer
159,"RBC CAPITAL MARKETS, LLC",2010-11-01 00:00:00,Current Dealer
160,MF GLOBAL INC.,2011-02-02 00:00:00,2011-10-31 00:00:00
161,"SG AMERICAS SECURITIES, LLC",2011-02-02 00:00:00,Current Dealer
162,MORGAN STANLEY & CO. LLC,2011-05-31 00:00:00,Current Dealer
163,"BANK OF NOVA SCOTIA, NEW YORK AGENCY",2011-10-04 00:00:00,Current Dealer
164,BMO CAPITAL MARKETS CORP. ,2011-10-04 00:00:00,Current Dealer
165,JEFFERIES LLC,2013-03-01 00:00:00,Current Dealer
166,TD SECURITIES (USA) LLC,2014-02-11 00:00:00,Current Dealer
