Unnamed: 0,Primary Dealer,Start Date,End Date,RSSD ID,Holding_Company_RSSD_ID,holding_company_name,permco,gvkey,linkdt,linkenddt
151,CITIGROUP GLOBAL MARKETS INC.  ,2003/4/7,23:01.7,2754521,2847508,CITIGROUP FINANCIAL PRODUCTS INC.,,15580,,
152,UBS SECURITIES LLC.                ,2003/6/9,23:01.7,1576959,1243206,UBS AG,,15580,,
153,COUNTRYWIDE SECURITIES CORPORATION,2004/1/15,00:00.0,3033102,3033072,,,8299,,
154,CREDIT SUISSE SECURITIES (USA) LLC,2006/1/16,23:01.7,3171527,2983778,CREDIT SUISSE (USA) LLC,,30219,,
155,CANTOR FITZGERALD & CO.,2006/8/1,23:01.7,2400891,,,,,,
156,DRESDNER KLEINWORT SECURITIES LLC,2006/9/18,00:00.0,2630577,1242414,COMMERZBANK AKTIENGESELLSCHAFT,,,,
157,RBS SECURITIES INC.,2009/4/1,23:01.7,1851106,2323673,,,,,
158,"JEFFERIES & COMPANY, INC.",2009/6/18,00:00.0,2046020,,,,12673,,
159,RBC CAPITAL MARKETS CORPORATION,2009/7/8,00:00.0,1663569,,,,12673,,
160,"NOMURA SECURITIES INTERNATIONAL,INC",2009/7/27,23:01.7,1445345,3877520,"NOMURA HOLDINGS, INC.",,12673,,
161,DAIWA CAPITAL MARKETS AMERICA INC.,2010/4/1,23:01.7,1607237,3919345,DAIWA SECURITIES GROUP INC. (JAPAN),,2029,,
162,J.P. MORGAN SECURITIES LLC,2010/9/1,23:01.7,1155420,2881472,J.P. MORGAN BROKER-DEALER HOLDINGS INC.,,15582,,
163,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",2010/11/1,23:01.7,2038119,1246140,,,7647,,
164,"RBC CAPITAL MARKETS, LLC",2010/11/1,23:01.7,1599109,3226762,RBC USA HOLDCO CORPORATION,,2014,,
165,MF GLOBAL INC.,2011/2/2,00:00.0,4236731,,,,2014,,
166,"SG AMERICAS SECURITIES, LLC",2011/2/2,23:01.7,3266768,3237759,"SG AMERICAS SECURITIES HOLDINGS, LLC",,2968,,
167,MORGAN STANLEY & CO. LLC,2011/5/31,23:01.7,1573239,3820272,"MORGAN STANLEY DOMESTIC HOLDINGS, LLC",,1494,,
168,"BANK OF NOVA SCOTIA, NEW YORK AGENCY",2011/10/4,23:01.7,5783335,,,,7647,,
169,BMO CAPITAL MARKETS CORP. ,2011/10/4,23:01.7,3206401,1245415,BMO FINANCIAL CORP.,,,,
170,JEFFERIES LLC,2013/3/1,23:01.7,2046020,,,,,,
171,TD SECURITIES (USA) LLC,2014/2/11,23:01.7,1839588,1378957,"TORONTO DOMINION HOLDINGS (U.S.A.), INC.",,320764,,
