Unnamed: 0,Primary Dealer,Start Date,End Date,RSSD ID,gvkey-V1,Holding_Company_RSSD_ID,holding_company_name,Permco,gvkey,linkdt,linkenddt
124,SBC WARBURG DILLON READ INC.   ,1997-09-03,1998-06-28 00:00:00.000000,1842234.0,15634.0,2697972.0,,,,,
125,BANCAMERICA ROBERTSON STEPHEN      ,1997-10-01,1998-08-31 00:00:00.000000,1482069.0,3555.0,1026016.0,,437.0,2024.0,1972-12-14,1998-09-30 00:00:00.000000
126,"NATIONSBANC MONTGOMERY SECUR,      ",1997-10-01,1998-09-30 00:00:00.000000,,,,,,,,
127,BT ALEX. BROWN INCORPORATED         ,1997-10-23,1999-06-04 00:00:00.000000,1152616.0,1395.0,1900666.0,DEUTSCHE BANK SECURITIES INC.,,,,
128,CIBC OPPENHEIMER CORP.             ,1997-12-04,1999-05-02 00:00:00.000000,1440715.0,3243.0,1485163.0,,,,,
129,BARCLAYS CAPITAL INC.               ,1998-04-01,2025-03-10 18:23:01.663441,1146316.0,3243.0,1131639.0,,,,,
130,DEUTSCHE BANK SECURITIES INC.       ,1998-06-01,2001-01-11 00:00:00.000000,1900666.0,3243.0,2259679.0,DB U.S. FINANCIAL MARKETS HOLDING CORPORATION,,,,
131,WARBURG DILLON READ LLC.           ,1998-06-29,2000-04-28 00:00:00.000000,1576959.0,3243.0,1243206.0,UBS AG,,,,
132,"BANCAMERICA SECURITIES, INC.       ",1998-09-01,1998-09-30 00:00:00.000000,1482069.0,15581.0,1026016.0,,437.0,2024.0,1972-12-14,1998-09-30 00:00:00.000000
133,SALOMON SMITH BARNEY INC.      ,1998-09-01,2003-04-06 00:00:00.000000,2754521.0,15581.0,1584093.0,,,,,
134,ABN AMRO INCORPORATED               ,1998-09-29,2002-12-08 00:00:00.000000,1948239.0,15581.0,1379552.0,BAC NORTH AMERICA HOLDING COMPANY,,,,
135,"NATIONSBANC MONTGOMERY SECUR,      ",1998-10-01,1999-05-16 00:00:00.000000,,15197.0,,,,,,
136,"BANC ONE CAPITAL MARKETS, INC      ",1999-04-01,2004-08-01 00:00:00.000000,1370456.0,15197.0,1090567.0,,,,,
137,CIBC WORLD MARKETS CORP.           ,1999-05-03,2007-02-08 00:00:00.000000,1440715.0,15197.0,1485163.0,,,,,
138,BANC OF AMERICA SECURITIES LLC           ,1999-05-17,2010-11-01 00:00:00.000000,1823907.0,2943.0,2738400.0,,,,,
139,HSBC SECURITIES (USA) INC.          ,1999-06-01,2025-03-10 18:23:01.663441,1032389.0,2943.0,1032325.0,HSBC MARKETS (USA) INC.,,,,
140,SG COWEN SECURITIES CORP.          ,1999-07-01,2001-10-31 00:00:00.000000,1758858.0,2943.0,2913980.0,"SG AMERICAS, INC.",,,,
141,BMO NESBITT BURNS CORP.            ,2000-02-15,2002-03-31 00:00:00.000000,1448216.0,2943.0,1245415.0,BMO FINANCIAL CORP.,,,,
142,UBS WARBURG LLC.                   ,2000-05-01,2003-06-08 00:00:00.000000,1576959.0,7032.0,1243206.0,UBS AG,,,,
143,BNP PARIBAS SECURITIES CORP.        ,2000-09-15,2025-03-10 18:23:01.663441,2311326.0,127377.0,1575569.0,"BNP PARIBAS USA, INC.",,,,
144,DEUTSCH BANC ALEX. BROWN INC.       ,2001-01-12,2002-03-29 00:00:00.000000,,,,,,,,
145,DRESDNER KLEINWORT WASSERSTEIN LLC,2001-04-30,2008-06-04 00:00:00.000000,,12673.0,,,,,,
146,J.P. MORGAN SECURITIES INC.        ,2001-05-01,2010-09-01 00:00:00.000000,1155420.0,2029.0,1039173.0,,,,,
147,DEUTSCHE BANK SECURITIES INC.       ,2002-03-30,2025-03-10 18:23:01.663441,1900666.0,15576.0,2259679.0,DB U.S. FINANCIAL MARKETS HOLDING CORPORATION,,,,
148,MIZUHO SECURITIES USA INC.         ,2002-04-01,2025-03-10 18:23:01.663441,1833577.0,,1238770.0,"MIZUHO BANK, LTD.",,,,
149,"ABN AMRO BANK, N.V., NY BR          ",2002-12-09,2006-09-15 00:00:00.000000,3968642.0,2019.0,,,,,,
150,CREDIT SUISSE 1ST BOSTON LLC   ,2003-01-17,2006-01-16 00:00:00.000000,,15532.0,,,,,,
151,CITIGROUP GLOBAL MARKETS INC.  ,2003-04-07,2025-03-10 18:23:01.663441,2754521.0,15580.0,2847508.0,CITIGROUP FINANCIAL PRODUCTS INC.,,,,
152,UBS SECURITIES LLC.                ,2003-06-09,2025-03-10 18:23:01.663441,1576959.0,15580.0,1243206.0,UBS AG,,,,
